Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,-0.343,-1.958,0.001,-1.136,-0.047,0.596
c_tail03_jj_03,0,0,0,-0.199,0.375,0.216
c_tail04_jj_04,0,0,0,-0.119,0.302,0.196
c_tail05_jj_05,0,0,0,-0.021,0.333,0.018
c_tail06_jj_06,0,0,0,-0.024,0.173,0.016
c_tail07_jj_07,0,0,0,-0.013,0.174,-0.022
c_tail08_jj_08,0,0,0,-0.006,0.157,-0.004
c_tail09_jj_09,0,0,0,-0.001,0.14,0
c_tail10_jj_010,0,0,0,-0.001,0.122,0
c_tail11_jj_011,0,0,0,0.003,0.105,0
c_tail12_jj_012,0,0,0,0,0.105,0
c_tail13_jj_013,0,0,0,0.001,0.105,0
c_tail14_jj_014,0,0,0,-0.001,0.105,0
c_tail15_jj_015,0,0,0,-0.001,0.105,0
c_tail16_jj_016,0,0,0,0,0.105,0
c_tail17_jj_017,0,0,0,0.002,0.105,0
c_tail18_jj_018,0,0,0,-0.001,0.105,0
c_tail19_jj_019,0,0,0,0,0.105,0
c_tail20_jj_020,0,0,0,0,0.105,0
c_tail21_jj_021,0,0,0,-0.001,0.105,0
c_tail22_jj_022,0,0,0,-0.002,0.105,0
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,-6.26,-0.035,-0.029
c_spine02_jj_025,-0.148,0,0,0.042,0.009,-0.137
c_spine03_jj_026,0,0,0,0.03,-0.012,-0.31
c_spine04_jj_027,0,0,0,0.061,0.238,0.121
c_spine05_jj_028,0,0,0,-0.434,0.171,0.281
c_neck01_jj_029,0.415,-0.108,-0.012,-0.072,0.04,0.528
c_head01_jj_030,-0.352,-0.123,-0.009,0.223,0.146,0.671
l_ear01_jj_033,0.107,-0.479,-0.499,-0.332,-0.037,0.052
r_ear01_jj_036,0.204,0.773,-1.014,-0.135,-0.042,0.091
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,0,0,0,0,0,0
organ_protect_1_R_042,-0.875,-0.425,0.605,0,0.144,0
l_scapula01_jj_043,0,0,0,0.044,0.028,0.142
l_humerus01_jj_044,0.063,0.489,-0.127,0.451,0.623,0.377
l_ulna01_jj_045,-0.153,0.06,0,0,0,-0.167
l_metacarpus01_jj_046,0,0,0,0.156,-0.112,0.382
r_scapula01_jj_066,0,0,0,-0.078,-0.042,0.065
r_humerus01_jj_067,-0.08,-1.076,0.66,-0.041,-0.175,0.188
r_ulna01_jj_068,-1.013,-0.293,0,0,0,1.102
r_metacarpus01_jj_069,0,0,0,-0.261,0.557,0.037
organ_protect_B_L_089,0,0,0,0.568,-0.272,-0.846
organ_protect_B_R_091,0,0,0,-0.242,0.003,0.234
organ_protect_2_094,-0.492,-0.433,-0.484,-0.05,0.153,-0.041
organ_protect_L_096,-0.267,-0.528,0.009,0,0,0
organ_protect_S_097,-0.258,0.18,0.504,0,0,0
organ_protect_L_2_099,0.068,0.069,-0.105,0,0,0
l_femur01_jj_0100,0,0,0,0,-0.289,0.418
l_tibia01_jj_00,0,0,0,0,0,0.277
l_metatarsus01_jj_0101,0,0,0,-0.118,0.077,-0.193
r_femur01_jj_0123,0,0,0,0.24,0.148,0.175
r_tibia01_jj_0124,0,0,0,0,0,0.295
r_metatarsus01_jj_0125,0,0,0,0.233,-0.306,0.024
MouseLiver_back,0,,,,,
MouseHeart_squash,0.308,,,,,
MouseHeart_back,0,,,,,
Gland1_long_scale,0.503,,,,,
Gland1_left_bend,0,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,0,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0,,,,,
Gland2_right_bend,0,,,,,
